State or area,,,Total,Congenital,Endocrine,Infectious diseases,Injuries,Mental disorders,Neoplasms,Blood disorders,Circulatory system,Digestive system,Urinary system,MSK system,Nervous system,Respiratory system,Skin and tissue,Unknown,Total
North Dakota,,,"16,827",106,314,97,652,"6,799",464,28,952,233,263,"4,194","1,902",426,48,25,324
Ohio,,,"403,498","1,989","10,825","3,139","12,097","149,989","11,368",968,"29,557","5,635","5,477","110,419","36,606","14,149",903,698,"9,679"
Oklahoma,,,"143,009",454,"4,552",972,"4,776","47,557","3,451",243,"10,930","2,115","2,024","46,094","12,609","4,523",358,239,"2,112"
Oregon,,,"122,022",543,"2,886","1,092","4,339","44,149","3,360",219,"6,304","2,175","1,559","36,537","13,551","2,468",301,273,"2,266"
Pennsylvania,,,"460,540","2,175","10,882","4,268","16,792","158,161","13,109","1,175","31,185","7,343","5,994","140,644","44,374","12,308",915,"1,138","10,077"
Rhode Island,,,"42,023",151,712,300,"1,044","19,718","1,117",92,"2,033",560,373,"10,370","3,728",895,92,98,740
South Carolina,,,"198,718",661,"5,434","2,331","7,418","56,087","5,415",844,"17,097","2,866","3,923","67,121","18,634","6,116",529,460,"3,782"
South Dakota,,,"22,145",135,450,103,796,"8,527",667,26,"1,239",294,371,"5,719","2,741",587,62,55,373
Tennessee,,,"277,595",983,"8,859","2,252","9,238","82,480","7,389",697,"22,463","4,259","4,379","90,596","24,580","8,908",636,585,"9,291"
Texas,,,"638,606","2,623","21,286","9,126","25,710","211,143","18,186","1,719","51,751","9,806","15,700","175,918","67,454","12,918","1,379","1,358","12,529"
Utah,,,"53,941",456,"1,265",327,"1,725","21,399","1,307",70,"2,422",842,754,"13,892","6,654","1,288",102,153,"1,285"
Vermont,,,"25,346",137,443,123,756,"11,949",561,34,864,321,166,"6,364","2,304",642,45,89,548
Virginia,,,"240,028","1,000","6,241","2,759","7,790","81,824","7,434",806,"19,411","3,641","4,653","68,847","22,706","6,828",605,518,"4,965"
Washington,,,"197,114",862,"4,542","1,735","6,295","76,874","5,733",390,"10,183","3,600","2,640","55,754","19,955","3,846",509,455,"3,741"
West Virginia,,,"101,477",307,"3,420",637,"4,417","30,224","2,658",169,"7,677","1,518",991,"33,045","8,220","4,240",242,240,"3,472"
Wisconsin,,,"186,423","1,307","4,143","1,050","5,877","72,177","5,213",406,"10,362","2,366","2,350","51,365","20,732","4,024",361,407,"4,283"
Wyoming,,,"15,079",78,240,73,672,"5,376",371,18,805,219,190,"4,250","1,815",675,28,62,207
Outlying areas,,,,,,,,,,,,,,,,,,,
,American Samoa,,"1,487",(X),85,25,54,241,27,(X),167,(X),38,686,99,31,12,(X),12
,Guam,,"1,919",9,26,17,85,522,68,(X),291,(X),141,430,236,35,7,17,17
,Northern Mariana Islands,,307,(X),8,(X),18,84,8,(X),42,0,(X),51,47,(X),(X),0,(X)
,Puerto Rico,,"177,570",408,"1,528","1,193","4,518","83,502","2,286",144,"6,621",762,"1,431","56,567","12,401","1,986",328,332,"3,563"
,U.S. Virgin Islands,,"1,832",(X),48,11,87,551,50,(X),139,17,50,539,265,11,7,(X),28
Foreign countries,,,"15,118",174,137,208,582,"6,346",431,19,920,114,140,"2,877","1,975",127,20,42,"1,006"
Unknown,,,99,0,3,(X),3,25,4,(X),4,(X),(X),32,13,(X),(X),0,(X)
